"diary","date","activity","location","people","time_of_day"
"Feeling overwhelmed today, my research project is challenging but my labmates were very supportive.","2022-03-15","research","laboratory","colleague","afternoon"
"Felt a wave of relief today, finally made progress in my research with the help of my labmates.","2022-03-16","research","laboratory","colleague","afternoon"
"Felt exhausted yet satisfied after a long day of research. My labmates' support made things bearable.","2022-03-17","research","laboratory","colleague","evening"
"Felt drained but accomplished today, I made significant progress on my research project. My labmates' encouragement was invaluable.","2022-03-18","research","laboratory","colleague","evening"
"Felt a sense of accomplishment after a productive meeting with my professor and labmates today, their guidance is truly invaluable.","2022-03-19","meeting","laboratory","colleague","afternoon"
"Felt overwhelmed but determined today after a challenging meeting with my professor and labmates. Their guidance keeps me going.","2022-03-20","meeting","laboratory","colleague","afternoon"
"Felt overwhelmed but relieved when I finally understood a complex concept. My labmates' patience and guidance were crucial.","2022-03-21","studying","laboratory","colleague","afternoon"
"Today was a whirlwind of emotions, feeling overwhelmed with my research yet finding solace in my boyfriend's comforting presence at dinner.","2022-03-22","research","laboratory","boyfriend","evening"
"Felt exhausted yet fulfilled after a long day of research, finding joy in my cute little breaks on Facebook.","2022-03-23","research","laboratory","alone","evening"
"Felt a sense of accomplishment today after finalizing my research draft. My labmates' support was invaluable.","2022-03-24","research","laboratory","colleague","afternoon"
"I felt a wave of relief and accomplishment after submitting my research project. The support from my labmates was immeasurable.","2022-03-25","research","laboratory","colleague","afternoon"
"Feeling drained after a day of intense research, but my boyfriend's presence at dinner uplifted my spirits.","2022-03-26","research","laboratory","boyfriend","evening"
"Felt overwhelmed with research today, but a chat with my roommate and some Facebook time brought comfort.","2022-03-27","research","home","roommate","evening"
"Felt overwhelmed with research today, but shopping at Chungang market for cute clothes brought me joy.","2022-03-28","leisure activity","market","alone","afternoon"
"Felt a sense of accomplishment after a productive meeting with my professor and labmates, but also a bit drained.","2022-03-29","meeting","laboratory","colleague","afternoon"
"Felt grateful for the support from Yugyeong and Guywon on my research today, but also a bit overwhelmed.","2022-03-30","research","laboratory","colleague","afternoon"
"Felt content after dinner with my boyfriend, but studying late into the night left me drained.","2022-03-31","studying","home","boyfriend","night"
"Felt relieved after a long day of research, but the late night study session left me exhausted.","2022-04-01","studying","home","alone","night"
"Felt excited exploring the Chungang market for clothes, but also a bit tired from the crowd.","2022-04-02","leisure activity","market","alone","afternoon"
"Felt accomplished after a productive meeting with my professor and PhD students, but also a bit anxious about the upcoming tasks.","2022-04-03","meeting","laboratory","colleague","afternoon"
"Felt overwhelmed balancing my research and study today, but my labmates' support eased my stress.","2022-04-04","research","laboratory","colleague","afternoon"
"Felt contented after a peaceful dinner with my boyfriend, but the late-night studying left me drained.","2022-04-05","studying","home","boyfriend","night"
"Felt a wave of relief after my labmates helped me through a challenging research problem today.","2022-04-06","research","laboratory","colleague","afternoon"
"Felt refreshed after a leisurely weekend of shopping at Chungang market, but the looming research tasks made me anxious.","2022-04-10","leisure activity","market","alone","afternoon"
"Spent a relaxing evening surfing Facebook and watching videos, but the thought of tomorrow's research tasks made me anxious.","2022-04-11","resting","home","alone","evening"
"Had a productive meeting with my professor and PhD students, but the complexity of the research project overwhelmed me.","2022-04-12","meeting","laboratory","colleague","afternoon"
"Felt anxious while juggling multiple tasks today, but my boyfriend's company at dinner calmed me down.","2022-04-13","socializing","restaurant","boyfriend","evening"
"Despite the support from Yugyeong and Guywon, I felt overwhelmed by the research task today. However, chatting with my roommate eased my stress.","2022-04-14","research","laboratory","colleague","afternoon"
"Enjoyed shopping for food at the supermarket, but the looming research project left me feeling drained.","2022-04-15","leisure activity","supermarket","alone","afternoon"
"Feeling overwhelmed after a long day of research, but my boyfriend's company at dinner brought me peace.","2022-04-16","research","laboratory","boyfriend","evening"
"Felt a wave of relief after a productive meeting with my professor and PhD students, but the feeling of exhaustion is still lingering.","2022-04-17","meeting","laboratory","professor","afternoon"
"Surfing Facebook before bed was a nice break from the day's research stress. It was a small, yet effective, self-care act.","2022-04-18","leisure activity","home","alone","night"
"Shopping at Chungang market was fun, but the thought of pending research work made me anxious.","2022-04-19","leisure activity","market","alone","afternoon"
"Today's research was tough, but Yugyeong and Guywon's help made it bearable. Felt grateful yet exhausted.","2022-04-20","research","laboratory","colleague","afternoon"
"Feeling overwhelmed by the research workload, but the dinner with my boyfriend was a soothing comfort.","2022-04-21","eating","restaurant","boyfriend","evening"
"Studying until late was exhausting, but the cute video I watched on Facebook brought a smile to my face.","2022-04-22","studying","home","alone","night"
"Feeling overwhelmed by the research, but food shopping at the supermarket was a refreshing distraction.","2022-04-23","shopping","supermarket","alone","afternoon"
"Felt overwhelmed by the research project, but the clothes shopping at Chungang market was a delightful escape.","2022-04-24","shopping","market","alone","afternoon"
"Today's research was demanding, yet the supportive meeting with Yugyeong and Guywon lightened my spirits.","2022-04-25","meeting","laboratory","colleague","afternoon"
"The research was overwhelming today, but the dinner with my boyfriend was a comforting end to the day.","2022-04-26","eating","restaurant","boyfriend","evening"
"Felt drained from the research, but my chat with my roommate uplifted my spirits.","2022-04-27","socializing","home","roommate","evening"
"The research project was mentally draining today, but surfing Facebook before bed provided a much-needed distraction.","2022-04-28","leisure activity","home","alone","night"
"Today's research was challenging but the shopping trip to Chungang market was refreshing and fun.","2022-04-29","shopping","Chungang market","alone","afternoon"
"The research meeting was intense but Yugyeong and Guywon's support eased the pressure. Dinner with my boyfriend was a sweet escape.","2022-04-30","meeting","laboratory","colleague","afternoon"
"My research was overwhelming today, but my boyfriend's company at dinner was soothing.","2022-05-01","research","laboratory","boyfriend","evening"
"Today's research was exhausting, but chatting with my roommate helped me unwind. Facebook surfing was a pleasant end to the day.","2022-05-02","socializing","home","roommate","night"
"The research was overwhelming but the comforting conversation with my roommate helped me to relax.","2022-05-03","socializing","home","roommate","night"
"The research project was challenging today, yet the support from Yugyeong and Guywon was uplifting. My roommate's comforting presence eased my stress.","2022-05-04","research","laboratory","colleague","afternoon"
"Today, research was daunting, yet Yugyeong and Guywon's support was heartening. Dinner with my boyfriend was the perfect stress-reliever.","2022-05-05","research","laboratory","colleague","afternoon"
"Today's research was tough, but Guywon and Yugyeong's support was a life-saver. Dinner with my boyfriend was the perfect ending.","2022-05-06","research","laboratory","colleague","afternoon"